sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
466,6457547,1788849,1764329,1640452,1170151,-500645,-4678709,-6228826,-19797870,-2890836,3673963
467,2335333,1926253,1885721,1744343,1223424,-666589,-5230039,-3512884,4455262,1573957,-4401884
468,-7731727,1802630,1758718,1639853,1199000,-450381,-4809330,-1392150,24988666,-4932214,4480207
469,5158911,3339975,3289367,3128841,2449450,119043,-5035898,-2243,28881320,3690037,-2929476
470,4574919,3950699,3906804,3755109,3172251,1092431,-3777919,-767634,15870672,16320773,573533
471,-2007077,4794226,4745988,4618657,4137751,2379698,-2062364,-2750205,-4632033,-9842878,548765
472,-3375761,5593545,5582918,5491832,5150012,3901183,202628,-4979218,-19816287,-24337774,646996
473,7911861,6959699,6939782,6877460,6601762,5598833,2358242,-5884584,-22279563,13096983,-2473960
474,7534274,9549536,9519186,9400998,8956036,7417164,3616115,-4236670,-13394674,24087349,1545251
475,4806634,12022561,11982660,11825164,11229649,9209421,4930476,-555181,69172,-11743600,3817553
476,-4508653,12844350,12817881,12713751,12322805,10947725,7433116,3644032,10973594,-19766548,-11315419
477,1811400,14668376,14631577,14530253,14102992,12599456,8803645,7978353,14538355,7504216,15719536
478,4261541,16190190,16161401,16061411,15663881,14185757,10063191,10342296,11165322,17933617,-13051156
479,-4145490,17887855,17849707,17735797,17308741,15671245,10867864,9938724,3882747,-4569654,4376538
480,6321096,19715468,19687181,19549959,19026224,17065920,11262110,6833360,-2849558,-19166265,4600618
481,-5540853,21038172,20993496,20864969,20345255,18369565,11869427,1823695,-5472704,7217998,-7996421
482,2395106,22770826,22718657,22558966,21918522,19540920,11948308,-2986078,-4207823,18338601,4111323
483,8314051,24693495,24650095,24432750,23598232,20584505,11713261,-5980527,-2239156,-15515693,3300466
484,4131068,25719900,25656167,25434315,24589099,21484573,12173326,-6570091,-2598573,-13531454,-8708935
485,7182239,26993920,26929986,26683112,25721735,22249227,12341165,-4120208,-5308880,24494804,8921642
486,522075,27335505,27268598,27050836,26159313,22902739,13250513,-24705,-6151127,8520195,-5028865
487,334622,27877123,27815214,27592221,26731069,23520950,13930969,4689293,-2105190,-28740051,871155
488,-999405,29051486,28972430,28716093,27738498,24115922,14013067,8490608,5369066,-7264260,187839
489,-1171728,30124320,30049226,29767409,28679649,24714428,14095591,9776921,11196139,26491976,2375340
490,3306827,30736430,30651536,30379996,29291439,25344384,14502194,7966847,11262819,8413104,-6707229
491,3891940,31432223,31348712,31071359,29991469,26030067,14739857,3908218,5863256,-18663999,9483521
492,5283104,33003603,32919528,32588368,31309574,26700464,14195428,-663757,-1391256,-8515982,-8099899
493,988984,33208873,33115850,32812520,31633336,27334604,14825232,-5000832,-6764196,6753010,1806602
494,907632,33677752,33600097,33308247,32143885,27906593,15237774,-6922441,-10143015,6347535,7370242
495,6613115,34250603,34179704,33877727,32713850,28435930,15617819,-5863479,-11683994,5109181,-15282741
496,7457853,35369158,35269774,34932988,33646544,28937836,15591798,-2019074,-10008050,-3118135,17632367
497,5491272,36646716,36541967,36166643,34694797,29425202,15460169,3145156,-2928931,-11381002,-13003826
498,5147757,37209704,37096054,36726510,35253351,29967711,15979031,7482324,8643219,434039,3839161
499,3549306,38069147,37958539,37573547,36075367,30640854,16232460,9851770,18172754,9056765,4910728
500,-1732253,39536084,39411420,38984536,37351856,31444470,16037420,9395666,18055374,504239,-9318336
501,-5581046,39881077,39769188,39381889,37881867,32379789,16907512,5438279,7029185,-2260393,8622523
502,6448187,41235385,41127794,40734267,39183573,33497465,17126273,11145,-8313265,697812,-5140637
503,1679597,42692869,42570913,42168842,40582671,34747591,17555652,-5503694,-16984381,-1594092,1350009
504,4022726,44451423,44333203,43898925,42210702,36033173,18047401,-9119212,-13683671,-2756686,1283759
505,-937385,44907866,44802621,44412930,42893945,37276746,19949627,-10118024,-2552115,-1812678,-2797139
506,-4963167,44894318,44805401,44479676,43206155,38397228,22456215,-7641843,6031823,2878348,3371843
507,3388825,45369664,45285246,44981501,43798195,39313421,24544966,-1834379,5250639,8570150,-3021720
508,-6740428,45347598,45270308,44998859,43935187,39904455,26787467,5449396,-1995968,-198824,1670751
509,2574216,45115740,45047998,44795168,43801449,40084111,28621829,12537628,-6782755,-11795036,-139367
510,-2564444,43758180,43695034,43501054,42723461,39792424,30458033,17435261,-2368779,-1734018,-789965
511,-472963,42729003,42677786,42483732,41725205,38938108,30759327,19776003,8235833,8731546,791774
