sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
227,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
228,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
229,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
230,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
231,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
232,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
233,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
234,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
235,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
236,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
237,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
238,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
239,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
240,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
241,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
242,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
243,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
244,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
245,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
246,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
247,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
248,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
249,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
250,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
251,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
252,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
253,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
254,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
255,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
256,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
257,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
258,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
259,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
260,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
261,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
262,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
263,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
264,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
265,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
266,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
267,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
268,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
269,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
270,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
271,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
272,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
273,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
274,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
275,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
276,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
277,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
278,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
279,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
280,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
281,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
