sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
278,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
279,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
280,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
281,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
282,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
283,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
284,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
285,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
286,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
287,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
288,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
289,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
290,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
291,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
292,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
293,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
294,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
295,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
296,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
297,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
298,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
299,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
300,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
301,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
302,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
303,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
304,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
305,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
306,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
307,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
308,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
309,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
310,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
311,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
312,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
313,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
314,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
315,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
316,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
317,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
318,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
319,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
320,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
